Name,Maker,Section
GPT-5.5 / GPT-5,OpenAI,OpenAI
GPT-4o,OpenAI,OpenAI
o3 / o4-mini,OpenAI,OpenAI
GPT Image 2,OpenAI,OpenAI
Sora / Sora 2,OpenAI,OpenAI
Whisper,OpenAI,OpenAI
Codex,OpenAI,OpenAI
Claude Opus 4.8 / 4.7 / 4.6,Anthropic,Anthropic
Claude Sonnet 4.6,Anthropic,Anthropic
Claude Haiku 4.5,Anthropic,Anthropic
Claude Mythos Preview,Anthropic,Anthropic
Claude Code,Anthropic,Anthropic
Gemini 3.1 Pro Preview,Google DeepMind,Google DeepMind
Gemini 3 Pro / Flash,Google DeepMind,Google DeepMind
Gemini 2.5 Pro / Flash,Google DeepMind,Google DeepMind
Gemma 4 / Gemma 3,Google DeepMind,Google DeepMind
Imagen 3,Google DeepMind,Google DeepMind
Veo 3 / Veo 3.1,Google DeepMind,Google DeepMind
Lyria,Google DeepMind,Google DeepMind
Genie 3,Google DeepMind,Google DeepMind
NotebookLM,Google Labs,Google DeepMind
AlphaCode 2,Google DeepMind,Google DeepMind
Gemini Nano,Google DeepMind,Google DeepMind
PaliGemma,Google DeepMind,Google DeepMind
Llama 4 Maverick / Scout,Meta,Meta
Llama 3.3 / 3.1 (8B–405B),Meta,Meta
Code Llama,Meta,Meta
MusicGen / AudioCraft,Meta,Meta
V-JEPA 2,Meta,Meta
Grok 4.3 / Grok 4,xAI,xAI
Grok 4.1 Fast / Grok 4 Fast,xAI,xAI
MAI-Thinking-1,Microsoft,Microsoft
MAI-Voice-1 / MAI-Image-2 / MAI-Transcribe-1,Microsoft,Microsoft
MAI-1 (500B preview),Microsoft,Microsoft
Phi-4 / Phi-4-reasoning / Phi-4-mini,Microsoft,Microsoft
Phi-3 (Mini/Medium/Vision),Microsoft,Microsoft
WizardLM,Microsoft,Microsoft
VALL-E,Microsoft,Microsoft
GitHub Copilot,GitHub/Microsoft,Microsoft
Orca 2,Microsoft Research,Microsoft
AutoGen,Microsoft,Microsoft
Amazon Nova Pro / Lite / Micro,Amazon,Amazon
Amazon Titan,Amazon,Amazon
Amazon Bedrock,Amazon,Amazon
Amazon Q Developer,Amazon,Amazon
Nemotron-4 340B / Nemotron-Mini,NVIDIA,NVIDIA
Llama-3.1-Nemotron,NVIDIA,NVIDIA
NVIDIA Cosmos,NVIDIA,NVIDIA
DeepSeek V3 / V4 Pro,DeepSeek,DeepSeek
DeepSeek R1,DeepSeek,DeepSeek
DeepSeek Coder V2 / DeepCoder,DeepSeek,DeepSeek
Janus-Pro,DeepSeek,DeepSeek
Qwen 3 Max / 235B-A22B,Alibaba,Alibaba (Qwen)
Qwen 3.7 Max,Alibaba,Alibaba (Qwen)
Qwen 2.5 VL,Alibaba,Alibaba (Qwen)
Qwen2.5-Coder / QwQ-32B,Alibaba,Alibaba (Qwen)
Qwen3-0.6B / 1.7B / 4B,Alibaba,Alibaba (Qwen)
Mistral Large 3,Mistral AI,Mistral AI
Mistral Medium 3.5 / Small 4,Mistral AI,Mistral AI
Codestral,Mistral AI,Mistral AI
Mixtral 8x22B,Mistral AI,Mistral AI
Pixtral,Mistral AI,Mistral AI
MiniMax-M1 (456B MoE),MiniMax,MiniMax (Hailuo AI)
MiniMax-Text-01 / VL-01,MiniMax,MiniMax (Hailuo AI)
Hailuo 02 (video 1080p),MiniMax,MiniMax (Hailuo AI)
MiniMax Speech-02 / Music-1.5,MiniMax,MiniMax (Hailuo AI)
MiniMax Image-01,MiniMax,MiniMax (Hailuo AI)
Kimi K2.6,Moonshot AI,Moonshot AI (Kimi)
Kimi K1.5,Moonshot AI,Moonshot AI (Kimi)
Command A+ (218B MoE),Cohere,Cohere
Command R+,Cohere,Cohere
Aya (101 languages),Cohere for AI,Cohere
Jamba 1.6 Large / Mini,AI21 Labs,AI21 Labs
DBRX (132B MoE),Databricks,Databricks / MosaicML
MPT-30B / MPT-7B,MosaicML,Databricks / MosaicML
Mosaic AI / Databricks platform,Databricks,Databricks / MosaicML
OLMo 3 / OLMo 2 (7B–32B),Allen AI,Allen AI (AI2)
OLMoE,Allen AI,Allen AI (AI2)
Molmo,Allen AI,Allen AI (AI2)
Tülu 3,Allen AI,Allen AI (AI2)
Nous Hermes 3,Nous Research,Nous Research
Deep Cogito (3B–70B),Deep Cogito,Nous Research
SmolLM3 (1B–2B),HuggingFace,HuggingFace
SmolVLM (256M–2B),HuggingFace,HuggingFace
Zephyr 7B,HuggingFace,HuggingFace
OpenChat 3.5,HuggingFace,HuggingFace
HuggingFace Hub,HuggingFace,HuggingFace
StarCoder 2 (3B–15B),BigCode,BigCode / StarCoder
TinySwallow-1.5B,Sakana AI,Sakana AI
Evolutionary Model Merge,Sakana AI,Sakana AI
MiniCPM-V 4.6 (1.3B),OpenBMB,OpenBMB / MiniCPM
MiniCPM5-1B,OpenBMB,OpenBMB / MiniCPM
OpenELM (270M–3B),Apple,Apple
Apple Intelligence,Apple,Apple
ERNIE 4.5,Baidu,Chinese AI Labs
GLM-5 / 5.1,Zhipu AI (Z.AI),Chinese AI Labs
